83, Federal-gov, Masters
83, Federal-gov, Assoc-voc
83, Federal-gov, Bachelors
83, Federal-gov, 10th
83, Federal-gov, 1st-4th
83, Federal-gov, Prof-school
83, Federal-gov, HS-grad
83, Federal-gov, 7th-8th
83, Federal-gov, 12th
83, Federal-gov, Some-college
83, Federal-gov, 5th-6th
83, Federal-gov, Preschool
83, Federal-gov, 11th
83, Federal-gov, Doctorate
83, Federal-gov, 9th
83, Federal-gov, Assoc-acdm
83, ?, Masters
83, ?, Assoc-voc
83, ?, Bachelors
83, ?, 10th
83, ?, 1st-4th
83, ?, Prof-school
83, ?, HS-grad
83, ?, 7th-8th
83, ?, 12th
83, ?, Some-college
83, ?, 5th-6th
83, ?, Preschool
83, ?, 11th
83, ?, Doctorate
83, ?, 9th
83, ?, Assoc-acdm
83, Self-emp-not-inc, Masters
83, Self-emp-not-inc, Assoc-voc
83, Self-emp-not-inc, Bachelors
83, Self-emp-not-inc, 10th
83, Self-emp-not-inc, 1st-4th
83, Self-emp-not-inc, Prof-school
83, Self-emp-not-inc, HS-grad
83, Self-emp-not-inc, 7th-8th
83, Self-emp-not-inc, 12th
83, Self-emp-not-inc, Some-college
83, Self-emp-not-inc, 5th-6th
83, Self-emp-not-inc, Preschool
83, Self-emp-not-inc, 11th
83, Self-emp-not-inc, Doctorate
83, Self-emp-not-inc, 9th
83, Self-emp-not-inc, Assoc-acdm
83, Never-worked, Masters
83, Never-worked, Assoc-voc
83, Never-worked, Bachelors
83, Never-worked, 10th
83, Never-worked, 1st-4th
83, Never-worked, Prof-school
83, Never-worked, HS-grad
83, Never-worked, 7th-8th
83, Never-worked, 12th
83, Never-worked, Some-college
83, Never-worked, 5th-6th
83, Never-worked, Preschool
83, Never-worked, 11th
83, Never-worked, Doctorate
83, Never-worked, 9th
83, Never-worked, Assoc-acdm
83, Local-gov, Masters
83, Local-gov, Assoc-voc
83, Local-gov, Bachelors
83, Local-gov, 10th
83, Local-gov, 1st-4th
83, Local-gov, Prof-school
83, Local-gov, HS-grad
83, Local-gov, 7th-8th
83, Local-gov, 12th
83, Local-gov, Some-college
83, Local-gov, 5th-6th
83, Local-gov, Preschool
83, Local-gov, 11th
83, Local-gov, Doctorate
83, Local-gov, 9th
83, Local-gov, Assoc-acdm
83, Private, Masters
83, Private, Assoc-voc
83, Private, Bachelors
83, Private, 10th
83, Private, 1st-4th
83, Private, Prof-school
83, Private, HS-grad
83, Private, 7th-8th
