39, State-gov, Bachelors
50, Self-emp-not-inc, Bachelors
38, Private, HS-grad
53, Private, 11th
28, Private, Bachelors
37, Private, Masters
49, Private, 9th
52, Self-emp-not-inc, HS-grad
31, Private, Masters
42, Private, Bachelors
37, Private, Some-college
30, State-gov, Bachelors
23, Private, Bachelors
32, Private, Assoc-acdm
40, Private, Assoc-voc
34, Private, 7th-8th
25, Self-emp-not-inc, HS-grad
32, Private, HS-grad
38, Private, 11th
43, Self-emp-not-inc, Masters
40, Private, Doctorate
54, Private, HS-grad
35, Federal-gov, 9th
43, Private, 11th
59, Private, HS-grad
56, Local-gov, Bachelors
19, Private, HS-grad
54, ?, Some-college
39, Private, HS-grad
49, Private, HS-grad
23, Local-gov, Assoc-acdm
20, Private, Some-college
45, Private, Bachelors
30, Federal-gov, Some-college
22, State-gov, Some-college
48, Private, 11th
21, Private, Some-college
19, Private, HS-grad
31, Private, Some-college
48, Self-emp-not-inc, Assoc-acdm
31, Private, 9th
53, Self-emp-not-inc, Bachelors
24, Private, Bachelors
49, Private, HS-grad
25, Private, HS-grad
57, Federal-gov, Bachelors
53, Private, HS-grad
44, Private, Masters
41, State-gov, Assoc-voc
29, Private, Assoc-voc
25, Private, Some-college
18, Private, HS-grad
47, Private, Prof-school
50, Federal-gov, Bachelors
47, Self-emp-inc, HS-grad
43, Private, Some-college
46, Private, 5th-6th
35, Private, Assoc-voc
41, Private, HS-grad
30, Private, HS-grad
30, Private, Bachelors
32, ?, 7th-8th
48, Private, HS-grad
42, Private, Doctorate
29, Private, Some-college
36, Private, HS-grad
28, Private, Some-college
53, Private, HS-grad
49, Self-emp-inc, Some-college
25, ?, Some-college
19, Private, Some-college
31, Private, Bachelors
29, Self-emp-not-inc, Bachelors
23, Private, Some-college
79, Private, Some-college
27, Private, HS-grad
40, Private, Assoc-acdm
67, ?, 10th
18, Private, 11th
31, Local-gov, 7th-8th
18, Private, HS-grad
52, Private, Bachelors
46, Private, HS-grad
59, Private, HS-grad
44, Private, HS-grad
53, Private, HS-grad
49, Local-gov, HS-grad
33, Private, Masters
30, Private, 9th
43, Federal-gov, Doctorate
57, Private, Assoc-voc
37, Private, Some-college
28, Private, Some-college
30, Private, HS-grad
34, Local-gov, Bachelors
29, Local-gov, Some-college
48, Self-emp-not-inc, Doctorate
37, Private, Some-college
48, Private, Assoc-acdm
32, Federal-gov, HS-grad
76, Private, Masters
44, Private, Bachelors
47, Self-emp-not-inc, Masters
20, Private, Some-college
29, Private, HS-grad
32, Self-emp-inc, HS-grad
17, ?, 10th
30, Private, 11th
31, Local-gov, HS-grad
42, Private, HS-grad
24, Private, Bachelors
38, Private, Prof-school
56, Self-emp-not-inc, HS-grad
28, Private, Some-college
36, Private, HS-grad
53, Private, 9th
56, Self-emp-inc, Some-college
49, Local-gov, Assoc-voc
55, Private, Some-college
22, Private, HS-grad
21, Private, Some-college
40, Private, Bachelors
30, Private, Bachelors
29, State-gov, Bachelors
19, Private, Some-college
47, Private, Bachelors
20, Private, Some-college
31, Private, Assoc-acdm
35, ?, HS-grad
39, Private, Some-college
28, Private, Assoc-acdm
24, Private, HS-grad
38, Self-emp-not-inc, HS-grad
37, Private, Bachelors
46, Private, Assoc-acdm
38, Federal-gov, Masters
43, Self-emp-not-inc, HS-grad
27, Private, Assoc-voc
20, Private, Some-college
49, Private, Some-college
61, Self-emp-inc, HS-grad
27, Private, Some-college
19, Private, Some-college
45, Private, Assoc-voc
70, Private, Some-college
31, Private, HS-grad
22, Private, Some-college
36, Private, HS-grad
64, Private, 11th
43, ?, Some-college
47, Local-gov, Some-college
34, Private, HS-grad
33, Private, Bachelors
21, Private, HS-grad
52, ?, HS-grad
48, Private, HS-grad
23, Private, Bachelors
71, Self-emp-not-inc, Some-college
29, Private, HS-grad
42, Private, Bachelors
68, ?, 1st-4th
25, Private, HS-grad
44, Self-emp-inc, Masters
28, Private, HS-grad
45, Self-emp-not-inc, Masters
36, Private, Some-college
39, Federal-gov, Assoc-acdm
46, State-gov, Masters
18, Private, 11th
66, Local-gov, Assoc-voc
27, Private, HS-grad
28, State-gov, HS-grad
51, Private, Some-college
27, Private, Bachelors
28, State-gov, Bachelors
27, Private, HS-grad
21, Private, HS-grad
34, Private, HS-grad
18, Private, HS-grad
33, Private, Bachelors
44, Local-gov, Some-college
43, Private, Some-college
30, Private, Some-college
40, Private, 7th-8th
37, Federal-gov, Some-college
34, Private, HS-grad
41, Self-emp-not-inc, Bachelors
53, ?, Bachelors
31, Private, Masters
58, State-gov, Doctorate
38, Private, Some-college
24, Private, Some-college
41, Local-gov, Bachelors
47, Private, Some-college
41, Federal-gov, Bachelors
23, Private, 5th-6th
36, Private, Some-college
40, Federal-gov, Masters
35, Private, Masters
24, Self-emp-not-inc, HS-grad
26, Private, Masters
19, ?, HS-grad
51, Private, Bachelors
42, Local-gov, Some-college
37, State-gov, HS-grad
18, Private, 11th
36, Private, Bachelors
35, Private, HS-grad
58, Self-emp-inc, HS-grad
17, Private, 11th
44, Local-gov, HS-grad
37, Private, HS-grad
35, Private, Some-college
60, Private, HS-grad
54, Self-emp-inc, 7th-8th
37, Private, Bachelors
50, Private, Assoc-acdm
38, Private, Bachelors
45, Private, Bachelors
25, Private, 10th
31, Private, Some-college
64, ?, 1st-4th
90, Private, HS-grad
54, Private, HS-grad
53, Local-gov, Preschool
18, Private, HS-grad
60, ?, 10th
66, Self-emp-not-inc, HS-grad
75, Private, Assoc-voc
65, Private, HS-grad
35, Private, 11th
41, Private, HS-grad
25, Private, Some-college
33, Private, Some-college
28, Private, Prof-school
59, State-gov, HS-grad
40, State-gov, Some-college
41, Private, Bachelors
38, Local-gov, Masters
23, Private, HS-grad
40, Private, Bachelors
41, Self-emp-not-inc, HS-grad
24, State-gov, Assoc-acdm
20, ?, Some-college
38, Private, Some-college
56, Private, HS-grad
58, Private, HS-grad
32, Private, HS-grad
40, Private, Assoc-acdm
45, Private, HS-grad
41, Private, Prof-school
42, Private, Bachelors
59, Local-gov, 10th
19, Local-gov, Some-college
58, Private, Some-college
42, Self-emp-not-inc, HS-grad
20, Private, HS-grad
32, Private, HS-grad
45, Private, Assoc-voc
50, Private, 7th-8th
36, Private, Bachelors
45, Private, HS-grad
17, Private, 11th
59, Private, Some-college
26, Private, 11th
37, Self-emp-inc, Some-college
19, ?, Some-college
64, Private, HS-grad
33, Private, Bachelors
33, Private, HS-grad
61, Private, HS-grad
17, Private, 9th
50, Self-emp-not-inc, Masters
27, Local-gov, Masters
30, Private, HS-grad
43, Private, HS-grad
44, Private, Some-college
35, Private, Some-college
25, Private, Some-college
24, Private, Some-college
22, Private, Bachelors
42, Local-gov, Some-college
34, Private, Assoc-acdm
60, Private, Bachelors
21, Private, HS-grad
57, Federal-gov, Masters
41, Private, Prof-school
50, Private, Some-college
25, Private, Bachelors
50, Private, 7th-8th
36, Private, Bachelors
31, Private, HS-grad
29, Local-gov, Bachelors
21, Private, Some-college
27, Private, Bachelors
65, Private, HS-grad
37, Self-emp-inc, Bachelors
39, ?, Masters
24, Private, HS-grad
38, Private, HS-grad
48, Private, Bachelors
21, Private, Some-college
31, Private, HS-grad
55, Private, HS-grad
24, Private, Some-college
43, Private, HS-grad
26, Private, Assoc-acdm
46, Private, Assoc-acdm
35, Private, Assoc-acdm
41, Self-emp-inc, Some-college
26, Private, Bachelors
34, Private, Masters
19, ?, Some-college
36, Self-emp-not-inc, Bachelors
22, Private, Some-college
24, Private, Some-college
77, Self-emp-not-inc, Some-college
22, Private, 5th-6th
29, Private, Some-college
62, Private, HS-grad
39, Self-emp-not-inc, HS-grad
43, Private, Some-college
35, Private, HS-grad
29, Private, 11th
76, Self-emp-not-inc, Masters
63, Self-emp-not-inc, HS-grad
23, ?, Assoc-voc
43, Private, Some-college
58, Self-emp-not-inc, HS-grad
66, Private, HS-grad
41, Private, Some-college
26, Private, Bachelors
47, Private, Assoc-voc
55, Local-gov, 10th
53, Private, HS-grad
17, Private, 5th-6th
30, Private, HS-grad
49, Private, Masters
19, Private, HS-grad
45, Private, HS-grad
26, Private, Assoc-acdm
38, Private, Assoc-voc
36, State-gov, HS-grad
33, Private, HS-grad
22, State-gov, Some-college
43, Self-emp-not-inc, Bachelors
67, ?, 11th
30, ?, Assoc-voc
56, Private, Assoc-acdm
31, Private, Bachelors
33, Private, Bachelors
26, Private, HS-grad
33, Private, Bachelors
46, Local-gov, 11th
59, ?, Bachelors
38, Federal-gov, HS-grad
65, Private, 11th
40, Private, Assoc-voc
42, Private, HS-grad
26, Self-emp-not-inc, 9th
36, Private, 10th
62, Private, Masters
43, Private, Bachelors
43, Private, Bachelors
22, Private, HS-grad
28, Private, HS-grad
56, Self-emp-not-inc, Some-college
22, Private, Assoc-acdm
57, Private, Bachelors
39, Private, HS-grad
26, Federal-gov, Some-college
17, Private, 11th
40, State-gov, Assoc-voc
45, Private, HS-grad
44, Private, HS-grad
20, Local-gov, Some-college
33, Private, HS-grad
23, Private, Some-college
46, Self-emp-not-inc, Masters
38, Private, HS-grad
54, Private, HS-grad
46, Private, 5th-6th
25, Private, Some-college
46, Private, Some-college
36, Local-gov, Some-college
23, Private, HS-grad
29, Private, HS-grad
44, Private, Some-college
19, Private, Some-college
19, Private, HS-grad
35, Private, HS-grad
27, Private, Bachelors
46, Self-emp-not-inc, Assoc-acdm
34, State-gov, Bachelors
34, Private, HS-grad
44, Private, Some-college
45, Private, Some-college
20, ?, HS-grad
25, Private, Bachelors
52, Self-emp-inc, Bachelors
20, Private, Some-college
28, Private, Some-college
50, State-gov, Bachelors
34, Private, Assoc-voc
28, Private, 7th-8th
41, Private, Masters
28, Private, HS-grad
46, Self-emp-not-inc, HS-grad
28, ?, Some-college
32, Private, Some-college
41, Local-gov, Some-college
24, Private, HS-grad
33, Private, Some-college
46, Private, Doctorate
31, State-gov, Some-college
35, Private, 12th
52, Private, 1st-4th
30, Private, 11th
34, Local-gov, 11th
34, State-gov, HS-grad
20, Private, Some-college
17, Private, 11th
32, State-gov, Bachelors
29, Private, HS-grad
33, Private, 10th
25, Private, HS-grad
36, Federal-gov, Masters
23, Private, HS-grad
63, Self-emp-inc, HS-grad
47, Local-gov, Masters
80, ?, HS-grad
17, ?, 11th
40, Self-emp-not-inc, Bachelors
30, Private, Assoc-acdm
27, Private, Some-college
33, Private, Masters
34, Local-gov, HS-grad
34, Local-gov, Some-college
23, Private, Some-college
42, Local-gov, Some-college
29, Private, Bachelors
45, Private, HS-grad
24, Federal-gov, HS-grad
44, Private, Some-college
27, Private, 9th
20, Private, Some-college
44, Private, HS-grad
51, Private, HS-grad
20, Private, HS-grad
17, ?, 11th
19, Private, HS-grad
45, Self-emp-inc, Some-college
60, Private, HS-grad
42, Private, Assoc-acdm
44, Self-emp-not-inc, HS-grad
40, Private, Assoc-voc
30, Private, HS-grad
38, Private, Some-college
23, Private, HS-grad
32, ?, Some-college
44, Private, Assoc-acdm
54, Local-gov, HS-grad
32, Private, Bachelors
50, Private, 1st-4th
24, Private, Bachelors
37, Private, HS-grad
52, Private, HS-grad
38, Private, Some-college
49, Private, Masters
30, Private, Bachelors
60, Private, Some-college
22, ?, Some-college
35, Private, HS-grad
30, Private, HS-grad
67, Private, Assoc-voc
46, Private, Bachelors
17, Private, 9th
22, Private, Some-college
27, Private, 10th
23, Private, HS-grad
33, Private, Assoc-acdm
43, Self-emp-not-inc, Some-college
28, State-gov, Bachelors
41, Private, HS-grad
52, ?, 12th
25, Private, Some-college
63, ?, 1st-4th
59, Local-gov, HS-grad
45, Local-gov, Bachelors
38, Private, Bachelors
40, Private, HS-grad
46, Federal-gov, HS-grad
35, Private, Assoc-acdm
